,date,dayNum,dayOfWeek,yearFreq,seasonal,weekly,forecast,low80,low95,high80,high95
43,2015-02-13,2407,Friday,0.117808219178082,1.04001482193303,1.03752526841747,683585195.8116617,683334580.5376389,683201950.0206426,683835902.9996815,683968656.5864533
44,2015-02-14,2408,Saturday,0.120547945205479,1.0395750938003199,0.80664799936225,683649846.2933904,683385047.9762244,683244913.7350245,683914747.2147115,684055018.8394594
45,2015-02-15,2409,Sunday,0.123287671232877,1.03927631726374,0.800299585622089,683714202.2324454,683434749.1880672,683286861.9216007,683993769.5437683,684141809.809866
46,2015-02-16,2410,Monday,0.12602739726027398,1.03922928557344,1.1085099295276999,683778263.0161557,683483678.4023184,683327786.1052055,684072974.5973238,684229036.8994422
47,2015-02-17,2411,Tuesday,0.12876712328767098,1.0395449129352299,1.10649515806895,683842028.0688732,683531829.9396524,683367677.9322033,684152366.9711695,684316707.469071
48,2015-02-18,2412,Wednesday,0.131506849315068,1.04063966611248,1.09636419760197,683905496.8518081,683579198.2105201,683406529.1678813,684231951.2479851,684404828.8412246
49,2015-02-19,2413,Thursday,0.134246575342466,1.0424210900295,1.0876131714189798,683968668.8628805,683625777.7134703,683444331.6940472,684311731.9986975,684493408.3021812
50,2015-02-20,2414,Friday,0.136986301369863,1.04423485190897,1.03761525051629,684031543.6365837,683671563.033599,683481077.506711,684391713.7838546,684582453.1042048
51,2015-02-21,2415,Saturday,0.13972602739726,1.0454475372972298,0.806485488800495,684094120.7438132,683716548.8409917,683516758.7138569,684471901.1548834,684671970.4676068
52,2015-02-22,2416,Sunday,0.142465753424658,1.04692491354485,0.8000320482807951,684156399.7917273,683760729.8893412,683551367.5333657,684552298.6553069,684761967.5826768
53,2015-02-23,2417,Monday,0.14520547945205498,1.04866915741635,1.10861390237327,684218380.4236025,683804101.014507,683584896.2909918,684632910.8218688,684852451.6115211
54,2015-02-24,2418,Tuesday,0.147945205479452,1.0496933824264,1.10656944741811,684280062.3186495,683846657.1332146,683617337.4184271,684713742.1856201,684943429.6898378
55,2015-02-25,2419,Wednesday,0.150684931506849,1.04992120935872,1.0964358215611,684341445.1918787,683888393.2417744,683648683.4514624,684794797.2729256,685034908.9285612
56,2015-02-26,2420,Thursday,0.15342465753424697,1.04974650503051,1.08771079451988,684402528.7939227,683929304.41484,683678927.0282457,684876080.6064289,685126896.4154636
57,2015-02-27,2421,Friday,0.15616438356164403,1.0493099862798299,1.0377052404190301,684463312.9108996,683969385.8042725,683708060.8875589,684957596.7059903,685219399.2166675
58,2015-02-28,2422,Saturday,0.158904109589041,1.04875242099075,0.8063230109787729,684523797.364228,684008632.6379623,683736077.8672093,685039350.0895394,685312424.3780919
59,2015-03-01,2423,Sunday,0.16164383561643803,1.04821437153917,0.799764600376295,684583982.0104741,684047040.2187479,683762970.9024568,685121345.2739232,685405978.9268302
60,2015-03-02,2424,Monday,0.164383561643836,1.04781982532674,1.108717884971,684643866.7411754,684084603.9233893,683788733.024537,685203586.7756523,685500069.8724408
61,2015-03-03,2425,Tuesday,0.167123287671233,1.04704306059564,1.1066437417550001,684703451.4826975,684121319.2015041,683813357.3591955,685286079.1116923,685594704.2082368
62,2015-03-04,2426,Wednesday,0.16986301369863,1.0460185276702498,1.09650745019932,684762736.1960434,684157181.5746253,683836837.1252996,685368826.8001424,685689888.9124601
63,2015-03-05,2427,Thursday,0.172602739726027,1.04535822570845,1.0878084263833299,684821720.8767061,684192186.6352216,683859165.6334988,685451834.3609316,685785630.9494482
64,2015-03-06,2428,Friday,0.175342465753425,1.04506311066952,1.03779523812639,684880405.554459,684226330.0457776,683880336.2849209,685535106.3164392,685881937.2706968
65,2015-03-07,2429,Saturday,0.178082191780822,1.04477272739656,0.8061605658904891,684938790.2932293,684259607.5379276,683900342.5699445,685618647.1921034,685978814.8159496
66,2015-03-08,2430,Sunday,0.18082191780821902,1.04455557003083,0.79949724187869,684996875.1909071,684292014.9115597,683919178.0669726,685702461.5170346,686076270.5141779
67,2015-03-09,2431,Monday,0.18356164383561605,1.04463485814874,1.10882187732178,685054660.3791487,684323548.0339756,683936836.4412483,685786553.8245277,686174311.2845297
68,2015-03-10,2432,Tuesday,0.18630136986301396,1.04506744169295,1.10671804107996,685112146.0232396,684354202.839098,683953311.4437582,685870928.6526088,686272944.0372947
69,2015-03-11,2433,Wednesday,0.18904109589041102,1.04567227639915,1.0965790835169398,685169332.3218786,684383975.326666,683968596.9101211,685955590.5445178,686372175.6747475
70,2015-03-12,2434,Thursday,0.19178082191780801,1.04626807450573,1.08790606701013,685226219.5070317,684412861.5614469,683982686.7595229,686040544.0492224,686472013.0920216
71,2015-03-13,2435,Friday,0.19452054794520499,1.0466731632632,1.03788524363903,685282807.8437428,684440857.672518,683995574.993685,686125793.7218274,686572463.1779113
72,2015-03-14,2436,Saturday,0.197260273972603,1.04670565840369,0.805998153529049,685339097.6299405,684467959.8525124,684007255.695884,686211344.1240306,686673532.8156382
73,2015-03-15,2437,Sunday,0.2,1.04646443988187,0.7992299727580909,685395089.1962669,684494164.3568914,684017723.0299517,686297199.824516,686775228.8836312
74,2015-03-16,2438,Monday,0.20273972602739698,1.0461438251726,1.10892587942654,685450782.9058834,684519467.5032923,684026971.239358,686383365.3993596,686877558.2562219
75,2015-03-17,2439,Tuesday,0.20547945205479504,1.0457052393675201,1.10679234539333,685506179.1543034,684543865.6708009,684034994.6462672,686469845.4323981,686980527.8043398
76,2015-03-18,2440,Wednesday,0.20821917808219198,1.04511020500291,1.09665072151427,685561278.3691998,684567355.2993357,684041787.6506767,686556644.5155677,687084144.3961979
77,2015-03-19,2441,Thursday,0.21095890410958898,1.04432039264235,1.08800371640105,685616081.0101972,684589932.8889385,684047344.7295191,686643767.2492621,687188414.897882
78,2015-03-20,2442,Friday,0.21369863013698603,1.04329768550578,1.0379752569576401,685670587.5687219,684611594.9992099,684051660.435834,686731218.2426246,687293346.1740141
79,2015-03-21,2443,Saturday,0.21643835616438395,1.04209454940725,0.805835773887858,685724798.5677797,684632338.248646,684054729.3979443,686819002.1138791,687398945.0883259
80,2015-03-22,2444,Sunday,0.219178082191781,1.04077060963413,0.7989627929846221,685778714.5617943,684652159.3140256,684056546.3186234,686907123.4906034,687505218.5042213
81,2015-03-23,2445,Monday,0.22191780821917803,1.03929883074753,1.10902989128619,685832336.1363871,684671054.92985,684057105.9743607,686995587.0100111,687612173.2853231
82,2015-03-24,2446,Tuesday,0.224657534246575,1.03765238894201,1.10686665469544,685885663.9082022,684689021.8877255,684056403.2145302,687084397.3192009,687719816.2960024
83,2015-03-25,2447,Wednesday,0.227397260273973,1.03580471415507,1.09672236419161,685938698.5247132,684706057.0357984,684054432.9606956,687173559.0754046,687828154.4018738
