,date,dayNum,dayOfWeek,yearFreq,seasonal,weekly,forecast,low80,low95,high80,high95
19,2015-05-25,2508,Monday,0.394520547945205,0.9997385824217451,1.11202216019536,656024996.390068,655994175.9539486,655977861.1867424,656055818.2742163,656072134.980284
20,2015-05-26,2509,Tuesday,0.39726027397260294,0.998478971725736,1.11179685535596,655901796.4616703,655867175.5970181,655848849.1580709,655936419.1538376,655954748.0397611
21,2015-05-27,2510,Wednesday,0.4,0.9974552991788851,1.1030511013811102,655778066.3705424,655739377.8929528,655718898.3740022,655816757.13074,655837239.7060304
22,2015-05-28,2511,Thursday,0.40273972602739705,0.996615425328686,1.08895989526281,655653808.5359354,655610779.3923936,655588002.2828642,655696840.5035701,655719621.3944726
23,2015-05-29,2512,Friday,0.40547945205479496,0.9963379505197071,1.0378293006205301,655529025.3922594,655481376.7971514,655456154.556565,655576677.4510599,655601904.3294172
24,2015-05-30,2513,Saturday,0.408219178082192,0.996569187948838,0.801959760168242,655403719.3888148,655351166.9519057,655323349.0780357,655456276.039885,655484099.5563848
25,2015-05-31,2514,Sunday,0.410958904109589,0.99660914640987,0.7939723551385109,655277892.9895588,655220146.8366408,655189579.9298177,655335644.2317793,655366217.9530183
26,2015-06-01,2515,Monday,0.413698630136986,0.996630822145835,1.11213781020163,655151548.6728574,655088313.5598615,655054841.3838003,655214789.8898872,655248270.2390399
27,2015-06-02,2516,Tuesday,0.41643835616438396,0.9971329743752191,1.11188981769676,655024688.9312611,654955664.3523338,654919127.8918235,655093720.7845621,655130266.9852073
28,2015-06-03,2517,Wednesday,0.41917808219178104,0.9979043212216658,1.1031472945460499,654897316.2712228,654822196.5613852,654782434.0771234,654972444.5986273,655012218.6215187
29,2015-06-04,2518,Thursday,0.42191780821917796,0.99873330259215,1.0890615269628399,654769433.2129124,654687907.6456981,654644754.7264464,654850968.9321669,654894135.4446641
30,2015-06-05,2519,Friday,0.424657534246575,0.9994077334398141,1.03791699544267,654641042.2899204,654552795.1704948,654506084.7828796,654729301.3068732,654776027.6248642
31,2015-06-06,2520,Saturday,0.42739726027397296,0.99971490692385,0.8017898932447429,654512146.0490605,654416856.8030359,654366419.3391374,654607449.1700975,654657905.2121737
32,2015-06-07,2521,Sunday,0.43013698630137,0.999466807737437,0.793695651581152,654382747.0501025,654280090.3085752,654225753.6314255,654485419.8984971,654539778.1422143
33,2015-06-08,2522,Monday,0.432876712328767,0.9987951933307041,1.11225347223547,654252847.8655322,654142493.5464646,654084083.0337338,654363220.8014555,654421656.2415305
34,2015-06-09,2523,Tuesday,0.43561643835616404,0.9979323196624019,1.11198278781057,654122451.0803394,654004064.4666103,653941403.0524981,654240859.124192,654303549.2325315
35,2015-06-10,2524,Wednesday,0.438356164383562,0.997089256996154,1.1032434960996398,653991559.2917455,653864801.1061621,653797709.3216664,654118342.0506594,654185466.7380246
36,2015-06-11,2525,Thursday,0.441095890410959,0.996060431742841,1.08916316814807,653860175.1089817,653724701.5863528,653652997.598073,653995676.7062311,654067418.2854974
37,2015-06-12,2526,Friday,0.44383561643835606,0.994742680359275,1.03800469767488,653728301.1530513,653583764.1096172,653507263.7571098,653872870.1601925,653949413.311027
38,2015-06-13,2527,Saturday,0.446575342465753,0.9934989792373259,0.801620062301567,653595940.056497,653441986.9568167,653360503.7886697,653749929.4280304,653831461.1629871
39,2015-06-14,2528,Sunday,0.449315068493151,0.9924224721168791,0.7934190444564441,653463094.4631301,653299368.4846748,653212713.7933213,653626861.473614,653713571.1054789
40,2015-06-15,2529,Monday,0.452054794520548,0.991346088662065,1.1123691462981298,653329767.0278518,653155907.1233116,653063889.9787375,653503673.2111816,653595752.3215164
41,2015-06-16,2530,Tuesday,0.454794520547945,0.990241216332948,1.11207576569802,653195960.4163638,653011601.3739741,652914028.6562996,653380371.5072193,653478013.9160628
42,2015-06-17,2531,Wednesday,0.45753424657534203,0.98907937192511,1.10333970604263,653061677.3049579,652866449.8068144,652763126.2379102,653256963.1822278,653360364.9188406
43,2015-06-18,2532,Thursday,0.46027397260274,0.987832213878455,1.0892648188193799,652926920.3802794,652720451.0588616,652611179.2329571,653133455.0123217,653242814.2869701
44,2015-06-19,2533,Friday,0.46301369863013697,0.986471562734016,1.03809240731778,652791692.3390937,652573603.8320215,652458184.2454717,653009853.7308172,653125370.9074694
45,2015-06-20,2534,Saturday,0.465753424657534,0.9850563940164709,0.8014502673310941,652655995.8880466,652425906.8912294,652304137.9713807,652886166.0296255,653008043.5996038
46,2015-06-21,2535,Sunday,0.468493150684932,0.9839840195255269,0.7931425337307779,652519833.7434255,652277359.0626644,652149037.1959516,652762398.5606498,652890841.1170713
47,2015-06-22,2536,Monday,0.471232876712329,0.9828681403261,1.1124848323908703,652383208.6309557,652127959.2320665,651992878.7913381,652638557.9370108,652773772.1501002
48,2015-06-23,2537,Tuesday,0.473972602739726,0.9811855142718721,1.11216875135977,652246123.2855281,651977706.3430924,651835659.714212,652514650.7342837,652656845.3274292
49,2015-06-24,2538,Wednesday,0.476712328767123,0.9786194401754008,1.1034359243757499,652108580.4509971,651826599.395785,651677377.0035682,652390683.4915947,652540069.2181586
50,2015-06-25,2539,Thursday,0.47945205479452097,0.975606261254157,1.08936647897766,651970582.879944,651674637.4450885,651518027.7785821,652266662.7126971,652423452.333491
51,2015-06-26,2540,Friday,0.48219178082191794,0.97275003193877,1.038180124372,651832133.3334302,651521819.5994244,651357609.236567,652142594.8669634,652307003.128443
52,2015-06-27,2541,Saturday,0.484931506849315,0.9698531699041,0.8012805083257041,651693234.5808026,651368145.0193207,651196118.6510456,652018486.3903496,652190730.0033753
53,2015-06-28,2542,Sunday,0.487671232876712,0.966486381503157,0.792866119370561,651553889.3994242,651213612.916136,651033553.3698552,651894343.6862544,652074641.3055432
54,2015-06-29,2543,Monday,0.49041095890410996,0.962898801673361,1.1126005305149198,651414100.574482,651058222.5507553,650869910.8133932,651770173.1263907,651958745.3304875
55,2015-06-30,2544,Tuesday,0.49315068493150704,0.9593362522287691,1.11226174479647,651273870.898742,650901973.2324108,650705188.4728807,651645981.0515563,651843050.3234031
56,2015-07-01,2545,Wednesday,0.495890410958904,0.9560409916220641,1.10353215109973,651133203.1723115,650744864.3175092,650539383.9087324,651521773.772417,651727564.4804244
57,2015-07-02,2546,Thursday,0.49863013698630104,0.953252083239379,1.08946814862381,650992100.2024429,650586895.2084979,650372494.7489331,651397557.5701956,651612295.9498556
58,2015-07-03,2547,Friday,0.501369863013699,0.9510767039051421,1.03826784883816,650850564.8032964,650428065.3527882,650204518.6875659,651273338.6973503,651497252.8333296
59,2015-07-04,2548,Saturday,0.5041095890410959,0.948963990975904,0.8011107852777791,650708599.7956948,650268374.2417015,650035453.4832957,651149123.3782375,651382443.1869285
60,2015-07-05,2549,Sunday,0.506849315068493,0.946996548815386,0.792589801342207,650566208.0069387,650107821.4094667,649865296.9579881,651024917.8096741,651267875.0222431
61,2015-07-06,2550,Monday,0.50958904109589,0.9453839924836609,1.11271624067155,650423392.2705455,649946406.4322243,649694046.9953014,650900728.1615636,651153556.3073838
62,2015-07-07,2551,Tuesday,0.512328767123288,0.944610891149312,1.11235474600877,650280155.4260666,649784128.9270847,649521701.5394285,650776560.5774047,651039494.9679531
63,2015-07-08,2552,Wednesday,0.515068493150685,0.9444583581805059,1.1036283862153,650136500.3188338,649620988.5512197,649348258.5937567,650652421.1748114,650925698.8879629
64,2015-07-09,2553,Thursday,0.5178082191780821,0.944081537500879,1.08956982775869,649992429.7997557,649456985.0009376,649173716.2196857,650528316.0460303,650812175.9107308
65,2015-07-10,2554,Friday,0.5205479452054791,0.9436111688742779,1.03835558071689,649847946.7250931,649292118.0108596,648998072.5354099,650404251.2583742,650698933.8397106
66,2015-07-11,2555,Saturday,0.523287671232877,0.9435925521187809,0.800941098179703,649703053.9562413,649126387.3530493,648821325.7147592,650280232.85469,650585980.4393073
67,2015-07-12,2556,Sunday,0.526027397260274,0.9438041035581809,0.7923135796121441,649557754.3595235,648959792.836209,648643473.9861135,650156266.8537714,650473323.4356469
